timestamp,uploadTime
2025-06-11T12:18:45.692Z,0.001
2025-06-11T12:19:44.118Z,0
2025-06-11T12:27:46.313Z,0
2025-06-11T12:33:32.217Z,0
2025-06-11T12:40:32.022Z,0
2025-06-11T12:50:22.763Z,0.001
2025-06-11T13:01:41.766Z,0
2025-06-11T13:31:19.457Z,0.003
2025-06-11T18:15:26.403Z,0.001
2025-06-11T18:21:54.035Z,0.001
2025-06-11T18:27:50.163Z,0.001
2025-06-11T18:28:37.671Z,0.001
2025-06-11T18:29:00.391Z,0.001
2025-06-11T18:40:19.987Z,0
2025-06-11T18:40:53.849Z,0
2025-06-11T19:08:39.642Z,0.002
2025-06-11T19:11:23.071Z,0
2025-06-11T20:58:11.615Z,0.001
2025-06-11T21:29:26.777Z,0.001
