timestamp,clientIp,reestablishmentTime
2025-06-25T15:18:27.525Z,::ffff:172.19.0.3,3.322
2025-06-25T15:18:42.924Z,::ffff:172.19.0.3,3.304
2025-06-25T15:18:58.354Z,::ffff:172.19.0.3,3.329
2025-06-25T15:19:13.760Z,::ffff:172.19.0.3,3.307
2025-06-25T17:52:15.126Z,::ffff:172.19.0.6,3.307
2025-06-25T17:52:30.554Z,::ffff:172.19.0.6,3.317
2025-06-25T17:52:45.960Z,::ffff:172.19.0.6,3.309
2025-06-25T17:53:01.373Z,::ffff:172.19.0.6,3.313
2025-06-26T13:52:27.104Z,::ffff:172.19.0.3,3.289
2025-06-26T13:52:42.611Z,::ffff:172.19.0.3,3.376
2025-06-26T13:52:58.078Z,::ffff:172.19.0.3,3.353
2025-06-26T13:53:13.556Z,::ffff:172.19.0.3,3.363
2025-06-26T14:09:07.306Z,::ffff:172.19.0.3,941.625
2025-06-26T14:09:22.729Z,::ffff:172.19.0.3,3.334
2025-06-26T14:09:38.257Z,::ffff:172.19.0.3,3.337
2025-06-26T14:09:53.821Z,::ffff:172.19.0.3,3.383
2025-06-26T14:10:09.346Z,::ffff:172.19.0.3,3.369
2025-06-26T14:20:53.367Z,::ffff:172.19.0.3,631.895
2025-06-26T14:21:08.838Z,::ffff:172.19.0.3,3.311
2025-06-26T14:21:24.332Z,::ffff:172.19.0.3,3.314
2025-06-26T14:21:39.821Z,::ffff:172.19.0.3,3.332
2025-06-26T14:21:55.351Z,::ffff:172.19.0.3,3.362
2025-06-26T14:42:46.845Z,::ffff:172.19.0.3,1239.353
2025-06-26T14:43:02.354Z,::ffff:172.19.0.3,3.345
2025-06-26T14:43:17.825Z,::ffff:172.19.0.3,3.371
2025-06-26T14:43:33.379Z,::ffff:172.19.0.3,3.389
2025-06-26T14:43:48.881Z,::ffff:172.19.0.3,3.37
2025-06-26T18:04:04.692Z,::ffff:172.19.0.7,3.349
2025-06-26T18:04:20.168Z,::ffff:172.19.0.7,3.36
2025-06-26T18:04:35.737Z,::ffff:172.19.0.7,3.382
2025-06-26T18:04:51.200Z,::ffff:172.19.0.7,3.319
2025-06-26T18:55:14.486Z,::ffff:172.19.0.7,3011.12
2025-06-26T18:55:29.940Z,::ffff:172.19.0.7,3.34
2025-06-26T18:55:45.439Z,::ffff:172.19.0.7,3.356
2025-06-26T18:56:00.963Z,::ffff:172.19.0.7,3.354
2025-06-26T18:56:16.471Z,::ffff:172.19.0.7,3.402
2025-06-27T14:16:38.819Z,::ffff:172.19.0.5,3.509
2025-06-27T14:16:54.327Z,::ffff:172.19.0.5,3.358
2025-06-27T14:17:09.857Z,::ffff:172.19.0.5,3.387
2025-06-27T14:17:25.729Z,::ffff:172.19.0.5,3.775
2025-06-27T14:20:23.496Z,::ffff:172.19.0.5,165.649
2025-06-27T14:20:38.984Z,::ffff:172.19.0.5,3.367
2025-06-27T14:20:54.636Z,::ffff:172.19.0.5,3.477
2025-06-27T14:21:10.243Z,::ffff:172.19.0.5,3.47
2025-06-27T14:21:25.736Z,::ffff:172.19.0.5,3.351
2025-06-27T15:06:19.296Z,::ffff:172.19.0.7,3.469
2025-06-27T15:06:35.174Z,::ffff:172.19.0.7,3.764
2025-06-27T15:06:51.364Z,::ffff:172.19.0.7,4.056
2025-06-27T15:07:07.191Z,::ffff:172.19.0.7,3.684
2025-06-27T15:08:38.460Z,::ffff:172.19.0.7,79.187
2025-06-27T15:08:54.009Z,::ffff:172.19.0.7,3.434
2025-06-27T15:09:09.527Z,::ffff:172.19.0.7,3.412
2025-06-27T15:09:25.052Z,::ffff:172.19.0.7,3.369
2025-06-27T15:09:40.489Z,::ffff:172.19.0.7,3.322
2025-06-27T22:01:38.443Z,::ffff:172.19.0.7,3.366
2025-06-27T22:01:53.952Z,::ffff:172.19.0.7,3.4
2025-06-27T22:02:09.459Z,::ffff:172.19.0.7,3.375
2025-06-27T22:02:25.036Z,::ffff:172.19.0.7,3.435
2025-06-27T23:29:00.757Z,::ffff:172.19.0.7,5183.575
2025-06-27T23:29:16.131Z,::ffff:172.19.0.7,3.295
2025-06-27T23:29:31.633Z,::ffff:172.19.0.7,3.391
2025-06-27T23:29:47.082Z,::ffff:172.19.0.7,3.325
2025-06-27T23:30:02.892Z,::ffff:172.19.0.7,3.543
2025-06-27T23:41:31.586Z,::ffff:172.19.0.7,676.585
2025-06-27T23:41:47.177Z,::ffff:172.19.0.7,3.447
2025-06-27T23:42:02.790Z,::ffff:172.19.0.7,3.416
2025-06-27T23:42:18.448Z,::ffff:172.19.0.7,3.561
2025-06-27T23:42:34.095Z,::ffff:172.19.0.7,3.478
2025-06-27T23:52:34.050Z,::ffff:172.19.0.7,587.808
2025-06-27T23:52:49.538Z,::ffff:172.19.0.7,3.352
2025-06-27T23:53:05.124Z,::ffff:172.19.0.7,3.446
2025-06-27T23:53:20.767Z,::ffff:172.19.0.7,3.357
2025-06-27T23:53:36.269Z,::ffff:172.19.0.7,3.453
2025-06-28T00:08:17.427Z,::ffff:172.19.0.7,869.025
2025-06-28T00:08:32.923Z,::ffff:172.19.0.7,3.321
2025-06-28T00:08:48.388Z,::ffff:172.19.0.7,3.361
2025-06-28T00:09:04.006Z,::ffff:172.19.0.7,3.502
2025-06-28T00:09:19.731Z,::ffff:172.19.0.7,3.598
2025-06-28T13:32:04.773Z,::ffff:172.19.0.14,3.242
2025-06-28T13:32:20.167Z,::ffff:172.19.0.14,3.3
2025-06-28T13:32:35.594Z,::ffff:172.19.0.14,3.313
2025-06-28T13:32:51.053Z,::ffff:172.19.0.14,3.35
2025-06-28T18:04:02.431Z,::ffff:172.19.0.7,3.306
2025-06-28T18:04:17.848Z,::ffff:172.19.0.7,3.302
2025-06-28T18:04:33.276Z,::ffff:172.19.0.7,3.325
2025-06-28T18:04:48.684Z,::ffff:172.19.0.7,3.314
2025-07-01T12:37:39.510Z,::ffff:172.19.0.4,3.514
2025-07-01T12:37:54.983Z,::ffff:172.19.0.4,3.352
2025-07-01T12:38:10.467Z,::ffff:172.19.0.4,3.365
2025-07-01T12:38:25.927Z,::ffff:172.19.0.4,3.328
2025-07-01T14:09:42.501Z,::ffff:172.19.0.5,3.31
2025-07-01T14:09:58.000Z,::ffff:172.19.0.5,3.354
2025-07-01T14:10:13.662Z,::ffff:172.19.0.5,3.461
2025-07-01T14:10:29.156Z,::ffff:172.19.0.5,3.328
2025-07-01T15:26:52.206Z,::ffff:172.19.0.5,4570.934
2025-07-01T15:27:09.928Z,::ffff:172.19.0.5,5.16
2025-07-01T15:27:27.105Z,::ffff:172.19.0.5,4.74
2025-07-01T15:27:44.819Z,::ffff:172.19.0.5,5.498
2025-07-01T15:28:02.961Z,::ffff:172.19.0.5,5.827
2025-07-01T16:29:58.190Z,::ffff:172.19.0.5,3702.984
2025-07-01T16:30:15.008Z,::ffff:172.19.0.5,4.536
2025-07-01T16:30:31.723Z,::ffff:172.19.0.5,4.439
2025-07-01T16:30:48.867Z,::ffff:172.19.0.5,4.965
