timestamp,disconnectCount
2025-06-25T15:18:24.203Z,1
2025-06-25T15:18:39.620Z,2
2025-06-25T15:18:55.025Z,3
2025-06-25T15:19:10.453Z,4
2025-06-25T15:19:25.866Z,5
2025-06-25T17:52:11.819Z,1
2025-06-25T17:52:27.237Z,2
2025-06-25T17:52:42.651Z,3
2025-06-25T17:52:58.060Z,4
2025-06-25T17:53:13.491Z,5
2025-06-26T13:52:23.816Z,1
2025-06-26T13:52:39.235Z,2
2025-06-26T13:52:54.725Z,3
2025-06-26T13:53:10.193Z,4
2025-06-26T13:53:25.681Z,5
2025-06-26T14:09:19.395Z,6
2025-06-26T14:09:34.920Z,7
2025-06-26T14:09:50.438Z,8
2025-06-26T14:10:05.977Z,9
2025-06-26T14:10:21.472Z,10
2025-06-26T14:21:05.527Z,11
2025-06-26T14:21:21.018Z,12
2025-06-26T14:21:36.489Z,13
2025-06-26T14:21:51.990Z,14
2025-06-26T14:22:07.492Z,15
2025-06-26T14:42:59.009Z,16
2025-06-26T14:43:14.454Z,17
2025-06-26T14:43:29.990Z,18
2025-06-26T14:43:45.511Z,19
2025-06-26T14:44:01.047Z,20
2025-06-26T18:04:01.343Z,1
2025-06-26T18:04:16.808Z,2
2025-06-26T18:04:32.355Z,3
2025-06-26T18:04:47.881Z,4
2025-06-26T18:05:03.366Z,5
2025-06-26T18:55:26.600Z,6
2025-06-26T18:55:42.083Z,7
2025-06-26T18:55:57.609Z,8
2025-06-26T18:56:13.069Z,9
2025-06-26T18:56:28.591Z,10
2025-06-27T14:16:35.311Z,1
2025-06-27T14:16:50.969Z,2
2025-06-27T14:17:06.470Z,3
2025-06-27T14:17:21.954Z,4
2025-06-27T14:17:37.847Z,5
2025-06-27T14:20:35.617Z,6
2025-06-27T14:20:51.159Z,7
2025-06-27T14:21:06.773Z,8
2025-06-27T14:21:22.385Z,9
2025-06-27T14:21:37.889Z,10
2025-06-27T15:06:15.827Z,1
2025-06-27T15:06:31.410Z,2
2025-06-27T15:06:47.308Z,3
2025-06-27T15:07:03.507Z,4
2025-06-27T15:07:19.273Z,5
2025-06-27T15:08:50.575Z,6
2025-06-27T15:09:06.116Z,7
2025-06-27T15:09:21.683Z,8
2025-06-27T15:09:37.167Z,9
2025-06-27T15:09:52.606Z,10
2025-06-27T22:01:35.077Z,1
2025-06-27T22:01:50.552Z,2
2025-06-27T22:02:06.084Z,3
2025-06-27T22:02:21.601Z,4
2025-06-27T22:02:37.166Z,5
2025-06-27T23:29:12.836Z,6
2025-06-27T23:29:28.242Z,7
2025-06-27T23:29:43.757Z,8
2025-06-27T23:29:59.349Z,9
2025-06-27T23:30:15.001Z,10
2025-06-27T23:41:43.731Z,11
2025-06-27T23:41:59.374Z,12
2025-06-27T23:42:14.887Z,13
2025-06-27T23:42:30.617Z,14
2025-06-27T23:42:46.242Z,15
2025-06-27T23:52:46.186Z,16
2025-06-27T23:53:01.678Z,17
2025-06-27T23:53:17.391Z,18
2025-06-27T23:53:32.815Z,19
2025-06-27T23:53:48.402Z,20
2025-06-28T00:08:29.602Z,21
2025-06-28T00:08:45.027Z,22
2025-06-28T00:09:00.504Z,23
2025-06-28T00:09:16.134Z,24
2025-06-28T00:09:31.872Z,25
2025-06-28T13:32:01.531Z,1
2025-06-28T13:32:16.867Z,2
2025-06-28T13:32:32.281Z,3
2025-06-28T13:32:47.703Z,4
2025-06-28T13:33:03.162Z,5
2025-06-28T18:03:59.125Z,1
2025-06-28T18:04:14.546Z,2
2025-06-28T18:04:29.951Z,3
2025-06-28T18:04:45.370Z,4
2025-06-28T18:05:00.784Z,5
2025-07-01T12:37:35.995Z,1
2025-07-01T12:37:51.631Z,2
2025-07-01T12:38:07.102Z,3
2025-07-01T12:38:22.599Z,4
2025-07-01T12:38:38.027Z,5
2025-07-01T14:09:39.192Z,1
2025-07-01T14:09:54.646Z,2
2025-07-01T14:10:10.201Z,3
2025-07-01T14:10:25.828Z,4
2025-07-01T14:10:41.271Z,5
2025-07-01T15:27:04.768Z,6
2025-07-01T15:27:22.365Z,7
2025-07-01T15:27:39.321Z,8
2025-07-01T15:27:57.135Z,9
2025-07-01T15:28:15.203Z,10
2025-07-01T16:30:10.473Z,11
2025-07-01T16:30:27.284Z,12
2025-07-01T16:30:43.902Z,13
2025-07-01T16:31:01.208Z,14
2025-07-01T16:31:17.906Z,15
2025-07-01T16:51:16.064Z,16
2025-07-01T16:51:33.329Z,17
2025-07-01T16:51:50.568Z,18
2025-07-01T16:52:09.426Z,19
2025-07-01T16:52:26.472Z,20
2025-07-01T17:21:21.387Z,21
2025-07-01T17:21:36.802Z,22
2025-07-01T17:21:52.249Z,23
2025-07-01T17:22:07.702Z,24
2025-07-01T17:22:23.131Z,25
2025-07-02T16:34:08.368Z,1
2025-07-02T16:34:23.814Z,2
2025-07-02T16:34:39.298Z,3
2025-07-02T16:34:54.818Z,4
2025-07-02T16:35:10.300Z,5
2025-07-02T17:02:25.412Z,6
2025-07-02T17:02:40.916Z,7
2025-07-02T17:02:56.388Z,8
2025-07-02T17:03:11.910Z,9
2025-07-02T17:03:27.436Z,10
2025-07-02T17:29:23.723Z,11
2025-07-02T17:29:39.194Z,12
2025-07-02T17:29:54.685Z,13
2025-07-02T17:30:10.126Z,14
2025-07-02T17:30:25.590Z,15
2025-07-02T17:35:43.354Z,16
2025-07-02T17:35:58.845Z,17
2025-07-02T17:36:14.259Z,18
2025-07-02T17:36:29.738Z,19
2025-07-02T17:36:45.248Z,20
2025-07-02T17:42:43.868Z,21
2025-07-02T17:42:59.337Z,22
2025-07-02T17:43:14.775Z,23
2025-07-02T17:43:30.249Z,24
2025-07-02T17:43:45.747Z,25
2025-07-02T18:47:10.950Z,1
2025-07-02T18:47:26.565Z,2
2025-07-02T18:47:42.076Z,3
2025-07-02T18:47:57.625Z,4
2025-07-02T18:48:13.093Z,5
2025-07-02T19:08:32.802Z,6
2025-07-02T19:08:48.262Z,7
2025-07-02T19:09:03.767Z,8
2025-07-02T19:09:19.246Z,9
2025-07-02T19:09:34.726Z,10
2025-07-02T19:34:02.190Z,11
2025-07-02T19:34:17.689Z,12
2025-07-02T19:34:33.168Z,13
2025-07-02T19:34:48.959Z,14
2025-07-02T19:35:04.445Z,15
2025-07-03T00:10:59.234Z,1
2025-07-03T00:11:14.707Z,2
2025-07-03T00:11:30.282Z,3
2025-07-03T00:11:45.736Z,4
2025-07-03T00:12:01.203Z,5
2025-07-03T00:26:02.046Z,6
2025-07-03T00:26:17.370Z,7
2025-07-03T00:26:32.825Z,8
2025-07-03T00:26:48.404Z,9
2025-07-03T00:27:03.866Z,10
2025-07-03T13:34:37.757Z,1
2025-07-03T13:34:53.226Z,2
2025-07-03T13:35:08.713Z,3
2025-07-03T13:35:24.325Z,4
2025-07-03T13:35:39.818Z,5
2025-07-03T13:50:50.732Z,6
2025-07-03T13:51:06.178Z,7
2025-07-03T13:51:21.704Z,8
2025-07-03T13:51:37.198Z,9
2025-07-03T13:51:52.702Z,10
2025-07-03T14:12:06.628Z,11
2025-07-03T14:12:22.094Z,12
2025-07-03T14:12:37.601Z,13
2025-07-03T14:12:53.127Z,14
2025-07-03T14:13:08.706Z,15
2025-07-03T14:19:36.142Z,16
2025-07-03T14:19:51.624Z,17
2025-07-03T14:20:07.108Z,18
2025-07-03T14:20:22.616Z,19
2025-07-03T14:20:38.094Z,20
2025-07-03T14:32:46.264Z,21
2025-07-03T14:33:01.793Z,22
2025-07-03T14:33:17.279Z,23
2025-07-03T14:33:32.775Z,24
2025-07-03T14:33:48.256Z,25
2025-07-03T15:53:28.032Z,1
2025-07-03T15:53:43.472Z,2
2025-07-03T15:53:58.949Z,3
2025-07-03T15:54:14.503Z,4
2025-07-03T15:54:29.941Z,5
2025-07-03T17:09:17.332Z,1
2025-07-03T17:09:32.814Z,2
2025-07-03T17:09:48.298Z,3
2025-07-03T17:10:03.794Z,4
2025-07-03T17:10:19.390Z,5
2025-07-03T17:38:24.226Z,1
2025-07-03T17:38:39.678Z,2
2025-07-03T17:38:55.157Z,3
2025-07-03T17:39:10.647Z,4
2025-07-03T17:39:26.122Z,5
2025-07-03T22:42:04.043Z,1
2025-07-03T22:42:19.627Z,2
2025-07-03T22:42:35.293Z,3
2025-07-03T22:42:50.892Z,4
2025-07-03T22:43:06.354Z,5
2025-07-03T22:52:41.399Z,6
2025-07-03T22:52:56.858Z,7
2025-07-03T22:53:12.385Z,8
2025-07-03T22:53:27.932Z,9
2025-07-03T22:53:43.443Z,10
2025-07-03T23:24:55.804Z,11
2025-07-03T23:25:11.100Z,12
2025-07-03T23:25:26.671Z,13
2025-07-03T23:25:42.260Z,14
2025-07-03T23:25:57.656Z,15
2025-07-04T18:44:33.358Z,1
2025-07-04T18:44:48.802Z,2
2025-07-04T18:45:04.287Z,3
2025-07-04T18:45:19.723Z,4
2025-07-04T18:45:35.561Z,5
2025-07-05T12:11:11.528Z,1
2025-07-05T12:11:27.067Z,2
2025-07-05T12:11:42.633Z,3
2025-07-05T12:11:58.080Z,4
2025-07-05T12:12:13.779Z,5
2025-07-06T13:20:36.854Z,1
2025-07-06T13:20:52.593Z,2
2025-07-06T13:21:08.105Z,3
2025-07-06T13:21:23.608Z,4
2025-07-06T13:21:39.092Z,5
2025-07-06T20:13:46.954Z,1
2025-07-06T20:14:02.617Z,2
2025-07-06T20:14:18.093Z,3
2025-07-06T20:14:33.567Z,4
2025-07-06T20:14:49.043Z,5
2025-07-06T20:22:04.902Z,6
2025-07-06T20:22:20.405Z,7
2025-07-06T20:22:35.903Z,8
2025-07-06T20:22:51.408Z,9
2025-07-06T20:23:06.869Z,10
2025-07-06T21:16:44.788Z,11
2025-07-06T21:17:00.238Z,12
2025-07-06T21:17:15.762Z,13
2025-07-06T21:17:31.249Z,14
2025-07-06T21:17:46.888Z,15
2025-07-06T21:29:53.616Z,16
2025-07-06T21:30:09.047Z,17
2025-07-06T21:30:24.522Z,18
2025-07-06T21:30:40.025Z,19
2025-07-06T21:30:55.507Z,20
2025-07-06T21:35:59.194Z,21
2025-07-06T21:36:14.683Z,22
2025-07-06T21:36:30.148Z,23
2025-07-06T21:36:45.843Z,24
2025-07-06T21:37:01.337Z,25
2025-07-08T00:03:45.052Z,1
2025-07-08T00:04:00.661Z,2
2025-07-08T00:04:16.177Z,3
2025-07-08T00:04:31.720Z,4
2025-07-08T00:04:47.214Z,5
2025-07-08T13:03:18.256Z,1
2025-07-08T13:03:33.944Z,2
2025-07-08T13:03:49.391Z,3
2025-07-08T13:04:04.943Z,4
2025-07-08T13:04:20.637Z,5
2025-07-08T15:21:53.773Z,6
2025-07-08T15:22:09.221Z,7
2025-07-08T15:22:24.749Z,8
2025-07-08T15:22:40.246Z,9
2025-07-08T15:22:55.709Z,10
2025-07-08T17:17:41.889Z,11
2025-07-08T17:17:57.325Z,12
2025-07-08T17:18:12.846Z,13
2025-07-08T17:18:28.446Z,14
2025-07-08T17:18:43.971Z,15
2025-07-08T17:46:18.997Z,16
2025-07-08T17:46:34.462Z,17
2025-07-08T17:46:50.158Z,18
2025-07-08T17:47:05.670Z,19
2025-07-08T17:47:21.204Z,20
2025-07-08T17:58:41.810Z,21
2025-07-08T17:58:57.263Z,22
2025-07-08T17:59:12.768Z,23
2025-07-08T17:59:28.299Z,24
2025-07-08T17:59:43.858Z,25
2025-07-08T18:26:08.499Z,26
2025-07-08T18:26:24.041Z,27
2025-07-08T18:26:39.569Z,28
2025-07-08T18:26:55.025Z,29
2025-07-08T18:27:10.630Z,30
2025-07-08T19:20:54.577Z,31
2025-07-08T19:21:10.103Z,32
2025-07-08T19:21:25.629Z,33
2025-07-08T19:21:41.101Z,34
2025-07-08T19:21:56.570Z,35
2025-07-08T19:26:59.982Z,36
2025-07-08T19:27:15.474Z,37
2025-07-08T19:27:30.896Z,38
2025-07-08T19:27:46.360Z,39
2025-07-08T19:28:01.867Z,40
2025-07-08T19:44:18.007Z,41
2025-07-08T19:44:33.487Z,42
2025-07-08T19:44:48.990Z,43
2025-07-08T19:45:04.432Z,44
2025-07-08T19:45:19.927Z,45
2025-07-08T19:49:58.169Z,46
2025-07-08T19:50:13.679Z,47
2025-07-08T19:50:29.182Z,48
2025-07-08T19:50:44.654Z,49
2025-07-08T19:51:00.084Z,50
2025-07-09T12:33:53.694Z,1
2025-07-09T12:34:08.857Z,2
2025-07-09T12:34:24.301Z,3
2025-07-09T12:34:39.765Z,4
2025-07-09T12:34:55.229Z,5
