PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,2171.0286,0.6756,160,0.46
2,2179.1433,0.2120,160,0.92
3,2180.5685,0.0641,160,1.38
4,2182.7309,0.0547,160,1.83
5,2183.2122,0.1248,160,2.29
6,2184.0404,0.0591,160,2.75
7,2185.3454,0.0952,160,3.20
8,2187.0105,0.1132,160,3.66
9,2188.7497,0.2012,160,4.11
10,2190.1005,0.1132,160,4.57
11,2191.1763,0.0548,160,5.02
12,2192.5476,0.0544,160,5.47
13,2193.4271,0.0748,160,5.93
14,2194.5086,0.0615,160,6.38
15,2195.0347,0.0427,160,6.83
16,2196.0017,0.0602,160,7.29
17,2197.1615,0.0448,160,7.74
18,2198.2448,0.0593,160,8.19
19,2199.6078,0.1203,160,8.64
20,2200.8136,0.0580,160,9.09
21,2209.7417,0.0699,160,9.50
22,2209.9028,0.0375,160,9.96
23,2210.9075,0.0618,160,10.40
24,2211.9984,0.0402,160,10.85
25,2212.9167,0.1023,160,11.30
26,2213.9335,0.0462,160,11.74
27,2215.0193,0.1079,160,12.19
28,2216.1588,0.0482,160,12.63
29,2217.2151,0.0703,160,13.08
30,2218.2019,0.0369,160,13.52
31,2219.6841,0.0463,160,13.97
32,2220.3275,0.0394,160,14.41
33,2221.1771,0.0310,160,14.86
34,2222.2389,0.0532,160,15.30
35,2223.2272,0.0623,160,15.74
36,2224.1576,0.0358,160,16.19
37,2225.1486,0.0573,160,16.63
38,2226.0485,0.0331,160,17.07
39,2227.4227,0.0575,160,17.51
40,2228.4891,0.0429,160,17.95
41,2229.6775,0.0353,160,18.39
42,2230.5813,0.0318,160,18.83
43,2231.4201,0.0635,160,19.27
44,2232.3767,0.0338,160,19.71
45,2233.3145,0.0315,160,20.15
46,2234.2665,0.0404,160,20.59
47,2235.1145,0.0302,160,21.03
48,2235.9604,0.0335,160,21.47
49,2236.8578,0.0467,160,21.91
50,2237.8956,0.0449,160,22.34
51,2238.8626,0.0441,160,22.78
52,2239.8216,0.0407,160,23.22
53,2241.8872,0.0665,160,23.64
54,2242.9325,0.0516,160,24.08
55,2244.0174,0.0451,160,24.51
56,2245.1357,0.0370,160,24.94
57,2246.1535,0.0361,160,25.38
58,2247.1949,0.0509,160,25.81
59,2248.3705,0.0407,160,26.24
60,2249.4334,0.0454,160,26.67
61,2250.5939,0.0524,160,27.10
62,2251.7474,0.0388,160,27.53
63,2251.853,0.0424,160,27.98
64,2253.0336,0.0372,160,28.41
65,2254.4342,0.0547,160,28.83
66,2255.5415,0.0355,160,29.26
67,2256.8063,0.0690,160,29.69
68,2257.9922,0.0504,160,30.12
69,2259.2361,0.0504,160,30.54
70,2260.4655,0.0651,160,30.97
71,2261.7529,0.0817,160,31.39
72,2263.1333,0.0472,160,31.81
73,2264.1552,0.0333,160,32.24
74,2265.1985,0.0512,160,32.67
75,2266.2326,0.0367,160,33.09
76,2267.2096,0.0423,160,33.52
77,2268.1909,0.0319,160,33.95
78,2269.2698,0.0497,160,34.37
79,2270.4513,0.0615,160,34.79
80,2271.57,0.0396,160,35.22
81,2273.1167,0.1322,160,35.63
82,2274.327,0.0426,160,36.05
83,2275.4388,0.0340,160,36.48
84,2276.5686,0.0419,160,36.90
85,2277.9363,0.0437,160,37.31
86,2279.0464,0.0782,160,37.74
87,2280.2947,0.0341,160,38.15
88,2281.3157,0.0624,160,38.57
89,2282.315,0.0337,160,39.00
90,2283.3515,0.0303,160,39.42
91,2284.4802,0.0495,160,39.83
92,2285.5349,0.0378,160,40.25
93,2286.8554,0.0573,160,40.67
94,2287.8548,0.0344,160,41.09
95,2288.9173,0.0382,160,41.50
96,2289.9276,0.0321,160,41.92
97,2290.9609,0.0442,160,42.34
98,2292.0319,0.0411,160,42.76
99,2293.1518,0.0488,160,43.17
100,2294.3403,0.0549,160,43.59
