PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,132.692,0.5988,160,7.54
2,139.1065,0.1857,160,14.38
3,141.3609,0.0921,160,21.22
4,142.9271,0.0539,160,27.99
5,143.6082,0.0813,160,34.82
6,144.5855,0.0703,160,41.50
7,145.7951,0.1132,160,48.01
8,147.1758,0.0507,160,54.36
9,147.656,0.1118,160,60.95
10,148.513,0.0820,160,67.33
11,149.4842,0.0549,160,73.59
12,150.59,0.0382,160,79.69
13,151.4413,0.0360,160,85.84
14,152.3285,0.0358,160,91.91
15,164.4437,0.0467,160,91.22
16,180.4891,0.0541,160,88.65
17,181.4441,0.0376,160,93.69
18,196.1766,0.0555,160,91.75
19,197.0295,0.0666,160,96.43
20,197.7503,0.0333,160,101.14
21,198.5332,0.0531,160,105.78
22,199.4833,0.0518,160,110.28
23,200.5116,0.0828,160,114.71
24,201.4777,0.0401,160,119.12
25,202.5037,0.0944,160,123.45
26,203.5183,0.0388,160,127.75
27,204.6292,0.1115,160,131.95
28,205.8188,0.0613,160,136.04
29,206.9427,0.0575,160,140.14
30,208.1382,0.0588,160,144.14
31,209.338,0.0554,160,148.09
32,211.6642,0.0707,160,151.18
33,212.7725,0.0723,160,155.10
34,213.7323,0.0575,160,159.08
35,214.753,0.0526,160,162.98
36,215.6963,0.0365,160,166.90
37,216.4973,0.0328,160,170.90
38,217.3861,0.0377,160,174.80
39,218.3487,0.0336,160,178.61
40,219.3289,0.0357,160,182.37
41,227.4225,0.0936,160,180.28
42,228.5384,0.0363,160,183.78
43,229.4384,0.0741,160,187.41
44,230.4842,0.0378,160,190.90
45,231.7794,0.0397,160,194.15
46,232.8053,0.0386,160,197.59
47,233.6961,0.0349,160,201.12
48,234.6437,0.0347,160,204.57
49,235.6254,0.0351,160,207.96
50,236.7966,0.0506,160,211.15
51,237.8405,0.0505,160,214.43
52,239.0335,0.0525,160,217.54
53,240.1186,0.0495,160,220.72
54,241.242,0.0504,160,223.84
55,241.3539,0.0265,160,227.88
56,242.4429,0.0396,160,230.98
57,243.5211,0.0372,160,234.07
58,244.5308,0.0365,160,237.19
59,245.4633,0.0356,160,240.36
60,246.402,0.0364,160,243.50
61,247.3933,0.0347,160,246.57
62,257.7024,0.0567,160,240.59
63,258.8182,0.0716,160,243.41
64,259.8137,0.0318,160,246.33
65,260.6569,0.0325,160,249.37
66,261.5741,0.0495,160,252.32
67,262.5316,0.0325,160,255.21
68,263.7647,0.0532,160,257.81
69,264.9742,0.0370,160,260.40
70,265.9536,0.0382,160,263.20
71,267.0322,0.0683,160,265.89
72,268.1663,0.0380,160,268.49
73,269.2794,0.0400,160,271.09
74,273.4463,0.0478,160,270.62
75,274.5431,0.0501,160,273.18
76,275.6729,0.0532,160,275.69
77,276.8286,0.0364,160,278.15
78,277.8531,0.0373,160,280.72
79,278.8773,0.0383,160,283.28
80,279.826,0.0372,160,285.89
81,280.984,0.0965,160,288.27
82,282.0808,0.0501,160,290.70
83,283.048,0.0342,160,293.24
84,284.0544,0.0340,160,295.72
85,285.2017,0.0445,160,298.03
86,285.3924,0.0817,160,301.34
87,286.3383,0.0295,160,303.84
88,289.614,0.0749,160,303.85
89,290.5724,0.0340,160,306.29
90,291.4424,0.0408,160,308.81
91,305.2693,0.0688,160,298.10
92,319.4157,0.1244,160,288.03
93,322.1729,0.1597,160,288.66
94,322.4259,0.0576,160,291.54
95,324.7822,0.0786,160,292.50
96,325.5839,0.1112,160,294.85
97,328.2732,0.0830,160,295.49
98,329.5133,0.1204,160,297.41
99,332.027,0.1377,160,298.17
100,333.1485,0.1254,160,300.17
