timestamp,clientIp,reestablishmentTime
2025-05-29T21:43:03.029Z,::ffff:172.18.0.4,3.31
2025-05-29T21:43:08.727Z,::ffff:172.18.0.4,3.472
2025-05-30T20:18:20.462Z,::ffff:172.18.0.4,3.332
2025-05-30T20:18:25.950Z,::ffff:172.18.0.4,3.299
2025-05-30T20:18:31.396Z,::ffff:172.18.0.4,3.257
2025-05-30T20:24:26.447Z,::ffff:172.18.0.4,352.838
2025-05-30T20:24:31.859Z,::ffff:172.18.0.4,3.293
2025-05-30T20:24:37.333Z,::ffff:172.18.0.4,3.289
2025-05-30T20:24:42.773Z,::ffff:172.18.0.4,3.259
2025-05-30T20:24:48.184Z,::ffff:172.18.0.4,3.258
2025-05-30T22:22:39.967Z,::ffff:172.18.0.4,3.308
2025-05-30T22:22:45.519Z,::ffff:172.18.0.4,3.425
2025-05-30T22:22:51.069Z,::ffff:172.18.0.4,3.52
2025-05-30T22:22:56.473Z,::ffff:172.18.0.4,3.412
2025-05-30T22:48:55.453Z,::ffff:172.18.0.4,1557.018
2025-05-30T22:49:00.975Z,::ffff:172.18.0.4,3.36
2025-05-30T22:49:06.496Z,::ffff:172.18.0.4,3.447
2025-05-30T22:49:11.803Z,::ffff:172.18.0.4,3.325
2025-05-30T22:49:17.244Z,::ffff:172.18.0.4,3.291
2025-05-30T23:44:40.837Z,::ffff:172.18.0.4,3321.475
2025-05-30T23:44:46.268Z,::ffff:172.18.0.4,3.321
2025-05-30T23:44:51.741Z,::ffff:172.18.0.4,3.363
2025-05-30T23:44:57.027Z,::ffff:172.18.0.4,3.262
2025-05-30T23:45:02.672Z,::ffff:172.18.0.4,3.477
2025-05-31T01:46:49.554Z,::ffff:172.18.0.4,3.3
2025-05-31T01:46:54.907Z,::ffff:172.18.0.4,3.269
2025-05-31T01:47:00.317Z,::ffff:172.18.0.4,3.271
2025-05-31T01:47:05.788Z,::ffff:172.18.0.4,3.284
2025-05-31T01:55:03.747Z,::ffff:172.18.0.4,475.83
2025-05-31T01:55:09.314Z,::ffff:172.18.0.4,3.368
2025-05-31T01:55:14.656Z,::ffff:172.18.0.4,3.328
2025-05-31T01:55:20.126Z,::ffff:172.18.0.4,3.389
2025-05-31T01:55:25.470Z,::ffff:172.18.0.4,3.304
2025-05-31T02:00:00.280Z,::ffff:172.18.0.4,272.714
2025-05-31T02:00:05.717Z,::ffff:172.18.0.4,3.254
2025-05-31T02:00:11.213Z,::ffff:172.18.0.4,3.299
2025-05-31T02:00:16.675Z,::ffff:172.18.0.4,3.285
2025-05-31T02:00:22.158Z,::ffff:172.18.0.4,3.328
2025-05-31T02:19:35.832Z,::ffff:172.18.0.4,1151.552
2025-05-31T02:19:41.185Z,::ffff:172.18.0.4,3.277
2025-05-31T02:19:46.698Z,::ffff:172.18.0.4,3.367
2025-05-31T02:19:52.026Z,::ffff:172.18.0.4,3.317
2025-05-31T02:19:57.423Z,::ffff:172.18.0.4,3.33
2025-05-31T13:18:20.196Z,::ffff:172.18.0.3,3.26
2025-05-31T13:18:25.615Z,::ffff:172.18.0.3,3.261
2025-05-31T13:18:31.022Z,::ffff:172.18.0.3,3.245
2025-05-31T13:18:36.531Z,::ffff:172.18.0.3,3.343
2025-05-31T13:48:35.588Z,::ffff:172.18.0.3,1797.008
2025-05-31T13:48:40.885Z,::ffff:172.18.0.3,3.276
2025-05-31T13:48:46.346Z,::ffff:172.18.0.3,3.27
2025-05-31T13:48:51.778Z,::ffff:172.18.0.3,3.259
2025-05-31T13:48:57.253Z,::ffff:172.18.0.3,3.293
2025-05-31T14:32:01.702Z,::ffff:172.18.0.3,2582.267
2025-05-31T14:32:07.148Z,::ffff:172.18.0.3,3.291
2025-05-31T14:32:12.528Z,::ffff:172.18.0.3,3.267
2025-05-31T14:32:18.063Z,::ffff:172.18.0.3,3.363
2025-05-31T14:32:23.441Z,::ffff:172.18.0.3,3.286
2025-06-03T21:27:43.921Z,::ffff:172.18.0.16,3.336
2025-06-03T21:27:49.373Z,::ffff:172.18.0.16,3.282
2025-06-03T21:27:54.870Z,::ffff:172.18.0.16,3.318
2025-06-04T12:27:35.212Z,::ffff:172.18.0.4,3.529
2025-06-04T12:27:40.401Z,::ffff:172.18.0.4,3.332
2025-06-04T12:27:45.837Z,::ffff:172.18.0.4,3.293
2025-06-04T12:27:51.291Z,::ffff:172.18.0.4,3.278
2025-06-04T12:43:22.670Z,::ffff:172.18.0.4,3.395
2025-06-04T12:43:27.910Z,::ffff:172.18.0.4,3.296
2025-06-04T12:43:36.518Z,::ffff:172.18.0.4,6.456
2025-06-04T12:43:41.962Z,::ffff:172.18.0.4,3.3
2025-06-04T12:43:47.431Z,::ffff:172.18.0.4,3.296
2025-06-04T12:43:52.835Z,::ffff:172.18.0.4,3.285
2025-06-04T12:43:58.248Z,::ffff:172.18.0.4,3.288
2025-06-04T12:48:34.962Z,::ffff:172.18.0.4,3.336
2025-06-04T12:48:40.253Z,::ffff:172.18.0.4,3.299
2025-06-04T12:48:45.720Z,::ffff:172.18.0.4,3.281
2025-06-04T12:48:51.188Z,::ffff:172.18.0.4,3.291
2025-06-04T13:25:00.895Z,::ffff:172.18.0.4,2167.591
2025-06-04T13:25:06.265Z,::ffff:172.18.0.4,3.308
2025-06-04T13:25:11.782Z,::ffff:172.18.0.4,3.344
2025-06-04T13:25:17.149Z,::ffff:172.18.0.4,3.285
2025-06-04T13:25:22.506Z,::ffff:172.18.0.4,3.275
2025-06-04T13:58:54.144Z,::ffff:172.18.0.4,2009.539
2025-06-04T13:58:59.966Z,::ffff:172.18.0.4,3.738
2025-06-04T13:59:05.512Z,::ffff:172.18.0.4,3.345
2025-06-04T13:59:10.845Z,::ffff:172.18.0.4,3.288
2025-06-04T13:59:16.253Z,::ffff:172.18.0.4,3.307
2025-06-04T14:10:43.339Z,::ffff:172.18.0.4,684.916
2025-06-04T14:10:48.865Z,::ffff:172.18.0.4,3.324
2025-06-04T14:10:54.252Z,::ffff:172.18.0.4,3.284
2025-06-04T14:10:59.725Z,::ffff:172.18.0.4,3.311
2025-06-04T14:11:05.201Z,::ffff:172.18.0.4,3.331
2025-06-04T14:20:21.723Z,::ffff:172.18.0.4,554.383
2025-06-04T14:20:27.177Z,::ffff:172.18.0.4,3.288
2025-06-04T14:20:32.619Z,::ffff:172.18.0.4,3.294
2025-06-04T14:20:38.099Z,::ffff:172.18.0.4,3.293
2025-06-04T14:20:43.508Z,::ffff:172.18.0.4,3.291
2025-06-04T14:29:30.692Z,::ffff:172.18.0.4,524.987
2025-06-04T14:29:36.526Z,::ffff:172.18.0.4,3.777
2025-06-04T14:29:42.025Z,::ffff:172.18.0.4,3.298
2025-06-04T14:29:47.501Z,::ffff:172.18.0.4,3.349
2025-06-04T14:29:52.834Z,::ffff:172.18.0.4,3.333
2025-06-04T14:44:33.276Z,::ffff:172.18.0.4,878.262
2025-06-04T14:44:39.155Z,::ffff:172.18.0.4,3.688
2025-06-04T14:44:44.615Z,::ffff:172.18.0.4,3.29
2025-06-04T14:44:50.134Z,::ffff:172.18.0.4,3.349
2025-06-04T14:44:55.776Z,::ffff:172.18.0.4,3.49
2025-06-04T14:56:29.400Z,::ffff:172.18.0.4,691.561
2025-06-04T14:56:35.035Z,::ffff:172.18.0.4,3.443
2025-06-04T14:56:40.622Z,::ffff:172.18.0.4,3.369
2025-06-04T14:56:45.878Z,::ffff:172.18.0.4,3.293
2025-06-04T14:56:51.372Z,::ffff:172.18.0.4,3.355
2025-06-04T17:07:13.821Z,::ffff:172.18.0.4,3.358
2025-06-04T17:07:19.175Z,::ffff:172.18.0.4,3.282
2025-06-04T17:07:24.716Z,::ffff:172.18.0.4,3.307
2025-06-04T17:07:30.148Z,::ffff:172.18.0.4,3.301
2025-06-04T17:12:47.366Z,::ffff:172.18.0.4,315.033
2025-06-04T17:12:52.791Z,::ffff:172.18.0.4,3.282
2025-06-04T17:12:58.272Z,::ffff:172.18.0.4,3.283
2025-06-04T17:13:03.695Z,::ffff:172.18.0.4,3.253
2025-06-04T17:13:09.172Z,::ffff:172.18.0.4,3.317
2025-06-04T17:18:43.482Z,::ffff:172.18.0.4,332.193
2025-06-04T17:18:49.190Z,::ffff:172.18.0.4,3.569
2025-06-04T17:18:54.513Z,::ffff:172.18.0.4,3.385
2025-06-04T17:19:00.041Z,::ffff:172.18.0.4,3.514
2025-06-04T17:19:06.600Z,::ffff:172.18.0.4,4.635
2025-06-04T17:27:34.942Z,::ffff:172.18.0.4,507.549
2025-06-04T17:35:57.046Z,::ffff:172.18.0.4,457.422
2025-06-04T17:36:02.529Z,::ffff:172.18.0.4,3.373
2025-06-04T17:36:07.844Z,::ffff:172.18.0.4,3.319
2025-06-04T17:36:13.335Z,::ffff:172.18.0.4,3.333
2025-06-04T17:36:18.738Z,::ffff:172.18.0.4,3.311
2025-06-04T17:48:46.160Z,::ffff:172.18.0.4,745.322
2025-06-04T17:48:51.655Z,::ffff:172.18.0.4,3.375
2025-06-04T17:48:56.932Z,::ffff:172.18.0.4,3.317
2025-06-04T17:49:02.357Z,::ffff:172.18.0.4,3.274
2025-06-04T17:49:07.815Z,::ffff:172.18.0.4,3.306
2025-06-04T18:05:41.500Z,::ffff:172.18.0.4,991.513
2025-06-04T18:05:46.733Z,::ffff:172.18.0.4,3.245
2025-06-04T18:05:52.213Z,::ffff:172.18.0.4,3.301
2025-06-04T18:05:57.612Z,::ffff:172.18.0.4,3.284
2025-06-04T18:06:03.103Z,::ffff:172.18.0.4,3.334
2025-06-04T18:29:53.801Z,::ffff:172.18.0.4,1428.575
2025-06-04T18:29:59.318Z,::ffff:172.18.0.4,3.446
2025-06-04T18:30:04.596Z,::ffff:172.18.0.4,3.321
2025-06-04T18:30:10.001Z,::ffff:172.18.0.4,3.321
2025-06-04T18:30:15.405Z,::ffff:172.18.0.4,3.356
2025-06-04T20:07:47.799Z,::ffff:172.18.0.4,5850.332
2025-06-04T20:07:52.726Z,::ffff:172.18.0.4,3.264
2025-06-04T20:07:58.176Z,::ffff:172.18.0.4,3.312
2025-06-04T20:08:03.626Z,::ffff:172.18.0.4,3.305
2025-06-04T20:08:09.109Z,::ffff:172.18.0.4,3.328
2025-06-04T20:46:52.322Z,::ffff:172.18.0.4,2321.092
2025-06-04T20:55:05.497Z,::ffff:172.18.0.4,3.26
2025-06-04T20:55:11.105Z,::ffff:172.18.0.4,3.453
2025-06-04T20:55:16.353Z,::ffff:172.18.0.4,3.288
2025-06-04T20:55:21.871Z,::ffff:172.18.0.4,3.392
2025-06-04T21:34:38.255Z,::ffff:172.18.0.4,2354.333
2025-06-04T21:34:43.256Z,::ffff:172.18.0.4,3.299
2025-06-04T21:34:48.780Z,::ffff:172.18.0.4,3.367
2025-06-04T21:34:54.069Z,::ffff:172.18.0.4,3.312
2025-06-04T21:34:59.480Z,::ffff:172.18.0.4,3.289
2025-06-05T23:01:59.182Z,::ffff:172.18.0.7,3.209
2025-06-05T23:02:04.661Z,::ffff:172.18.0.7,3.313
2025-06-05T23:02:10.079Z,::ffff:172.18.0.7,3.393
2025-06-06T19:15:07.355Z,::ffff:172.18.0.15,3.363
2025-06-06T19:15:12.659Z,::ffff:172.18.0.15,3.347
2025-06-06T19:15:17.951Z,::ffff:172.18.0.15,3.275
2025-06-07T14:00:30.450Z,::ffff:172.18.0.7,3.328
2025-06-07T14:00:35.939Z,::ffff:172.18.0.7,3.286
2025-06-07T14:00:41.518Z,::ffff:172.18.0.7,3.345
2025-06-07T14:00:46.881Z,::ffff:172.18.0.7,3.334
2025-06-11T21:32:16.218Z,::ffff:172.18.0.4,3.174
2025-06-11T21:32:21.519Z,::ffff:172.18.0.4,3.13
2025-06-11T21:32:26.902Z,::ffff:172.18.0.4,3.185
2025-06-11T21:32:32.252Z,::ffff:172.18.0.4,3.169
