timestamp,clientIp,reestablishmentTime
2025-06-27T22:06:07.663Z,::ffff:172.19.0.7,3.195
2025-06-27T22:06:13.011Z,::ffff:172.19.0.7,3.2
2025-06-27T22:06:18.352Z,::ffff:172.19.0.7,3.183
2025-06-27T22:06:23.727Z,::ffff:172.19.0.7,3.175
2025-06-27T23:20:10.997Z,::ffff:172.19.0.7,4425.049
2025-06-27T23:20:14.156Z,::ffff:172.19.0.7,2.765
2025-06-27T23:20:19.477Z,::ffff:172.19.0.7,3.189
2025-06-27T23:20:24.858Z,::ffff:172.19.0.7,3.137
2025-06-27T23:20:30.248Z,::ffff:172.19.0.7,3.176
2025-06-28T13:54:58.152Z,::ffff:172.19.0.14,3.159
2025-06-28T13:55:03.498Z,::ffff:172.19.0.14,3.153
2025-06-28T13:55:08.924Z,::ffff:172.19.0.14,3.157
2025-06-28T13:55:14.364Z,::ffff:172.19.0.14,3.145
2025-06-28T18:00:10.974Z,::ffff:172.19.0.7,3.269
2025-06-28T18:00:16.450Z,::ffff:172.19.0.7,3.203
2025-06-28T18:00:21.848Z,::ffff:172.19.0.7,3.237
2025-06-28T18:00:27.229Z,::ffff:172.19.0.7,3.176
2025-06-28T18:38:53.067Z,::ffff:172.19.0.3,3.144
2025-06-28T18:38:58.533Z,::ffff:172.19.0.3,3.158
2025-06-28T18:39:03.970Z,::ffff:172.19.0.3,3.142
2025-06-28T18:39:09.600Z,::ffff:172.19.0.3,3.159
2025-06-28T21:14:54.466Z,::ffff:172.19.0.3,3.163
2025-06-28T21:14:59.863Z,::ffff:172.19.0.3,3.143
2025-06-28T21:15:05.400Z,::ffff:172.19.0.3,3.147
2025-06-28T21:15:11.050Z,::ffff:172.19.0.3,3.16
2025-06-28T21:38:59.812Z,::ffff:172.19.0.3,1426.374
2025-06-28T21:39:04.975Z,::ffff:172.19.0.3,3.147
2025-06-28T21:39:10.501Z,::ffff:172.19.0.3,3.148
2025-06-28T21:39:15.814Z,::ffff:172.19.0.3,3.178
2025-06-28T21:39:21.167Z,::ffff:172.19.0.3,3.143
2025-06-28T21:47:33.071Z,::ffff:172.19.0.3,489.497
2025-06-28T21:47:38.576Z,::ffff:172.19.0.3,3.142
2025-06-28T21:47:44.009Z,::ffff:172.19.0.3,3.136
2025-06-28T21:47:49.448Z,::ffff:172.19.0.3,3.161
2025-06-28T21:47:55.052Z,::ffff:172.19.0.3,3.171
2025-06-28T22:55:39.682Z,::ffff:172.19.0.3,4062.289
2025-06-28T22:55:44.708Z,::ffff:172.19.0.3,3.144
2025-06-28T22:55:50.014Z,::ffff:172.19.0.3,3.15
2025-06-28T22:55:55.547Z,::ffff:172.19.0.3,3.159
2025-06-28T22:56:00.982Z,::ffff:172.19.0.3,3.178
2025-06-29T00:20:31.486Z,::ffff:172.19.0.7,3.162
2025-06-29T00:20:36.889Z,::ffff:172.19.0.7,3.189
2025-06-29T00:20:42.221Z,::ffff:172.19.0.7,3.143
2025-06-29T00:20:47.647Z,::ffff:172.19.0.7,3.14
2025-06-29T12:55:25.423Z,::ffff:172.19.0.7,3.215
2025-06-29T12:55:30.807Z,::ffff:172.19.0.7,3.174
2025-06-29T12:55:36.209Z,::ffff:172.19.0.7,3.205
2025-06-29T12:55:41.676Z,::ffff:172.19.0.7,3.18
2025-06-29T15:01:06.039Z,::ffff:172.19.0.3,3.19
2025-06-29T15:01:11.466Z,::ffff:172.19.0.3,3.17
2025-06-29T15:01:16.990Z,::ffff:172.19.0.3,3.264
2025-06-29T15:01:22.468Z,::ffff:172.19.0.3,3.215
2025-06-29T15:20:54.704Z,::ffff:172.19.0.14,3.157
2025-06-29T15:21:00.128Z,::ffff:172.19.0.14,3.156
2025-06-29T15:21:05.525Z,::ffff:172.19.0.14,3.155
2025-06-29T15:21:10.873Z,::ffff:172.19.0.14,3.181
2025-06-29T19:43:48.223Z,::ffff:172.19.0.4,3.255
2025-06-29T19:43:53.634Z,::ffff:172.19.0.4,3.17
2025-06-29T19:43:59.038Z,::ffff:172.19.0.4,3.205
2025-06-29T19:44:04.460Z,::ffff:172.19.0.4,3.198
2025-06-30T17:35:16.016Z,::ffff:172.19.0.2,3.258
2025-06-30T17:35:21.249Z,::ffff:172.19.0.2,3.184
2025-06-30T17:35:26.621Z,::ffff:172.19.0.2,3.144
2025-06-30T17:35:31.938Z,::ffff:172.19.0.2,3.148
2025-07-01T10:13:26.741Z,::ffff:172.19.0.6,3.163
2025-07-01T10:13:32.196Z,::ffff:172.19.0.6,3.147
2025-07-01T10:13:37.801Z,::ffff:172.19.0.6,3.223
2025-07-01T10:13:43.259Z,::ffff:172.19.0.6,3.146
2025-07-03T23:12:14.308Z,::ffff:172.19.0.6,3.198
