PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,129.0424,2.7240,160,7.75
2,147.6129,0.2304,160,13.55
3,149.8721,0.1132,160,20.02
4,151.8061,0.0680,160,26.35
5,152.8648,0.1038,160,32.71
6,154.2564,0.0925,160,38.90
7,156.6839,0.1009,160,44.68
8,158.3026,0.1837,160,50.54
9,160.3314,0.2431,160,56.13
10,161.5484,0.1019,160,61.90
11,163.2188,0.0615,160,67.39
12,164.4491,0.0438,160,72.97
13,164.5629,0.0404,160,79.00
14,165.7544,0.0618,160,84.46
15,167.0963,0.0630,160,89.77
16,168.8257,0.1398,160,94.77
17,169.9887,0.0444,160,100.01
18,171.003,0.0524,160,105.26
19,172.5947,0.4380,160,110.08
20,175.0092,0.3045,160,114.28
21,177.3209,0.0717,160,118.43
22,179.0559,0.0699,160,122.87
23,181.4994,0.0632,160,126.72
24,182.9332,0.0687,160,131.20
25,186.4268,0.3294,160,134.10
26,187.0228,0.0635,160,139.02
27,189.5038,0.1708,160,142.48
28,192.327,0.2058,160,145.59
29,193.2556,0.1024,160,150.06
30,193.8169,0.1648,160,154.79
31,195.9997,0.0648,160,158.16
32,197.1455,0.0607,160,162.32
33,197.9801,0.0579,160,166.68
34,202.0825,0.1771,160,168.25
35,204.2407,0.0444,160,171.37
36,204.6601,0.0457,160,175.90
37,205.7076,0.0410,160,179.87
38,207.4246,0.0606,160,183.20
39,207.5792,0.0371,160,187.88
40,209.5878,0.1062,160,190.85
41,210.8882,0.0593,160,194.42
42,212.5555,0.0621,160,197.60
43,214.1518,0.1036,160,200.79
44,215.4413,0.0576,160,204.23
45,215.5885,0.0435,160,208.73
46,217.1426,0.2643,160,211.84
47,218.6263,0.1430,160,214.98
48,219.8791,0.0601,160,218.30
49,220.9761,0.0495,160,221.74
50,222.2338,0.0718,160,224.99
51,223.3328,0.0406,160,228.36
52,224.5893,0.0625,160,231.53
53,226.2353,0.0617,160,234.27
54,226.5442,0.0540,160,238.36
55,227.5896,0.0577,160,241.66
56,229.0535,0.0546,160,244.48
57,230.2199,0.0522,160,247.59
58,231.4739,0.0550,160,250.57
59,232.8426,0.0609,160,253.39
60,234.2752,0.0557,160,256.11
61,235.6547,0.0771,160,258.85
62,236.8035,0.0433,160,261.82
63,238.2107,0.1077,160,264.47
64,238.6968,0.1395,160,268.12
65,239.5356,0.0506,160,271.36
66,241.4868,0.1771,160,273.31
67,243.0287,0.0726,160,275.69
68,244.4311,0.0564,160,278.20
69,244.5839,0.0411,160,282.11
70,246.4826,0.1371,160,284.00
71,248.0624,0.1048,160,286.22
72,249.5521,0.0681,160,288.52
73,250.6207,0.0425,160,291.28
74,251.693,0.0395,160,294.01
75,253.3639,0.1519,160,296.02
76,253.6949,0.0578,160,299.57
77,254.8928,0.0539,160,302.09
78,256.1602,0.0536,160,304.50
79,257.6906,0.1136,160,306.57
80,259.6186,0.0756,160,308.14
81,261.1519,0.1634,160,310.16
82,262.6102,0.0536,160,312.25
83,263.6967,0.0469,160,314.76
84,264.8499,0.0506,160,317.16
85,266.1648,0.0567,160,319.35
86,267.4935,0.1484,160,321.50
87,268.5416,0.0360,160,323.97
88,269.6508,0.0461,160,326.35
89,270.6922,0.0365,160,328.79
90,271.9733,0.0380,160,330.91
91,273.2631,0.0537,160,333.01
92,274.9558,0.2146,160,334.60
93,276.62,0.0548,160,336.20
94,278.0487,0.0520,160,338.07
95,279.5893,0.2170,160,339.78
96,280.7014,0.0361,160,342.00
97,281.7427,0.0372,160,344.29
98,283.0998,0.0808,160,346.17
99,284.316,0.0629,160,348.20
100,284.6686,0.1021,160,351.29
